scenario_id,method,status,n_nodes,num_vehicles_used,total_distance_km,total_fuel_cost_rp,total_fixed_cost_rp,total_cost_rp,best_k_clusters,runtime_sec,weight_utilisation,volume_utilisation,total_weight_demand,total_volume_demand,city,date,is_lindo_representative,distance_method,route_index,vehicle_type_l,vehicle_unit_k,vehicle_name,route_distance_km,route_fuel_cost_rp,route_fixed_cost_rp,load_weight_kg,load_volume_cbm,capacity_weight,capacity_volume,route_node_ids,route_names,route_full_node_ids,route_full
S03_Manado_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,5,190.607,153722.95,850000,1003722.95,2,0.4628,17.89,64.07,892.55,10.2514,Manado,2025-12-24,True,OSRM,5,2,2,Pickup Bak,75.5134,62927.83,200000,360.79,2.7994,1250,5.0,"[3, 2]",Node_03 -> Node_02,"[0, 3, 2, 0]",Depot Manado -> Node_03 -> Node_02 -> Depot Manado
S04_Pekanbaru_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,9,3,87.1057,64522.73,450000,514522.73,1,0.6194,31.73,76.45,790.13,4.587,Pekanbaru,2025-12-24,False,OSRM,1,1,1,Blind Van,29.7114,22008.44,150000,260.28,1.434,830,2.0,"[1, 5]",Node_01 -> Node_05,"[0, 1, 5, 0]",Depot Pekanbaru -> Node_01 -> Node_05 -> Depot Pekanbaru
S04_Pekanbaru_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,9,3,87.1057,64522.73,450000,514522.73,1,0.6194,31.73,76.45,790.13,4.587,Pekanbaru,2025-12-24,False,OSRM,2,1,2,Blind Van,27.0457,20033.85,150000,184.89,1.171,830,2.0,[2],Node_02,"[0, 2, 0]",Depot Pekanbaru -> Node_02 -> Depot Pekanbaru
S04_Pekanbaru_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,9,3,87.1057,64522.73,450000,514522.73,1,0.6194,31.73,76.45,790.13,4.587,Pekanbaru,2025-12-24,False,OSRM,3,1,3,Blind Van,30.3486,22480.44,150000,344.96,1.982,830,2.0,"[9, 6, 7, 8, 4, 3]",Node_09 -> Node_06 -> Node_07 -> Node_08 -> Node_04 -> Node_03,"[0, 9, 6, 7, 8, 4, 3, 0]",Depot Pekanbaru -> Node_09 -> Node_06 -> Node_07 -> Node_08 -> Node_04 -> Node_03 -> Depot Pekanbaru
S05_Batam_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,7,167.2933,138820.94,1400000,1538820.94,1,0.5357,40.22,77.31,3415.0,23.192056,Batam,2025-12-18,False,OSRM,1,1,1,Blind Van,30.8888,22880.59,150000,776.3,1.818438,830,2.0,"[4, 6, 10]",Node_04 -> Node_06 -> Node_10,"[0, 4, 6, 10, 0]",Depot Batam -> Node_04 -> Node_06 -> Node_10 -> Depot Batam
S05_Batam_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,7,167.2933,138820.94,1400000,1538820.94,1,0.5357,40.22,77.31,3415.0,23.192056,Batam,2025-12-18,False,OSRM,2,1,2,Blind Van,24.6526,18261.19,150000,302.1,1.538118,830,2.0,[7],Node_07,"[0, 7, 0]",Depot Batam -> Node_07 -> Depot Batam
S05_Batam_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,7,167.2933,138820.94,1400000,1538820.94,1,0.5357,40.22,77.31,3415.0,23.192056,Batam,2025-12-18,False,OSRM,3,1,3,Blind Van,17.9092,13266.07,150000,297.1,1.63012,830,2.0,[8],Node_08,"[0, 8, 0]",Depot Batam -> Node_08 -> Depot Batam
S05_Batam_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,7,167.2933,138820.94,1400000,1538820.94,1,0.5357,40.22,77.31,3415.0,23.192056,Batam,2025-12-18,False,OSRM,4,2,1,Pickup Bak,22.6761,18896.75,200000,1009.0,4.808186,1250,5.0,"[1, 2]",Node_01 -> Node_02,"[0, 1, 2, 0]",Depot Batam -> Node_01 -> Node_02 -> Depot Batam
S05_Batam_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,7,167.2933,138820.94,1400000,1538820.94,1,0.5357,40.22,77.31,3415.0,23.192056,Batam,2025-12-18,False,OSRM,5,2,2,Pickup Bak,17.8221,14851.75,200000,395.5,4.888896,1250,5.0,[3],Node_03,"[0, 3, 0]",Depot Batam -> Node_03 -> Depot Batam
S05_Batam_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,7,167.2933,138820.94,1400000,1538820.94,1,0.5357,40.22,77.31,3415.0,23.192056,Batam,2025-12-18,False,OSRM,6,2,3,Pickup Bak,32.6417,27201.42,200000,346.1,4.602784,1250,5.0,[5],Node_05,"[0, 5, 0]",Depot Batam -> Node_05 -> Depot Batam
S05_Batam_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,7,167.2933,138820.94,1400000,1538820.94,1,0.5357,40.22,77.31,3415.0,23.192056,Batam,2025-12-18,False,OSRM,7,3,1,Engkel,20.7028,23463.17,350000,288.9,3.905514,2250,9.0,[9],Node_09,"[0, 9, 0]",Depot Batam -> Node_09 -> Depot Batam
S06_Batam_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,5,129.3161,101716.74,850000,951716.74,1,0.483,8.14,81.4,406.0,13.024612,Batam,2025-12-24,False,OSRM,1,1,1,Blind Van,21.3653,15826.15,150000,89.0,1.712635,830,2.0,"[8, 2]",Node_08 -> Node_02,"[0, 8, 2, 0]",Depot Batam -> Node_08 -> Node_02 -> Depot Batam
S06_Batam_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,5,129.3161,101716.74,850000,951716.74,1,0.483,8.14,81.4,406.0,13.024612,Batam,2025-12-24,False,OSRM,2,1,2,Blind Van,22.0136,16306.37,150000,40.0,1.640963,830,2.0,[4],Node_04,"[0, 4, 0]",Depot Batam -> Node_04 -> Depot Batam
S06_Batam_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,5,129.3161,101716.74,850000,951716.74,1,0.483,8.14,81.4,406.0,13.024612,Batam,2025-12-24,False,OSRM,3,1,3,Blind Van,21.9252,16240.89,150000,68.0,1.840672,830,2.0,"[5, 9]",Node_05 -> Node_09,"[0, 5, 9, 0]",Depot Batam -> Node_05 -> Node_09 -> Depot Batam
S06_Batam_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,5,129.3161,101716.74,850000,951716.74,1,0.483,8.14,81.4,406.0,13.024612,Batam,2025-12-24,False,OSRM,4,2,1,Pickup Bak,26.4867,22072.25,200000,132.0,4.832422,1250,5.0,"[3, 1]",Node_03 -> Node_01,"[0, 3, 1, 0]",Depot Batam -> Node_03 -> Node_01 -> Depot Batam
S06_Batam_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,10,5,129.3161,101716.74,850000,951716.74,1,0.483,8.14,81.4,406.0,13.024612,Batam,2025-12-24,False,OSRM,5,2,2,Pickup Bak,37.5253,31271.08,200000,77.0,2.99792,1250,5.0,"[10, 6, 7]",Node_10 -> Node_06 -> Node_07,"[0, 10, 6, 7, 0]",Depot Batam -> Node_10 -> Node_06 -> Node_07 -> Depot Batam
