scenario_id,method,status,infeasible_nodes,n_nodes,num_vehicles_used,total_distance_km,total_fuel_cost_rp,total_fixed_cost_rp,total_cost_rp,best_k_clusters,weight_utilisation,volume_utilisation,total_weight_demand,total_volume_demand,runtime_sec,city,date,is_lindo_representative,route_index,vehicle_type_l,vehicle_unit_k,vehicle_name,route_distance_km,route_fuel_cost_rp,route_fixed_cost_rp,load_weight_kg,load_volume_cbm,capacity_weight,capacity_volume,route_node_ids,route_names
S04_Manado_2025-12-24,heuristic_kmeans_bfd_gnn,,,8,5,146.247,76314.3,850000.0,926314.3,1,17.89,64.07,892.55,10.2514,0.0855,Manado,2025-12-24,True,5.0,2.0,2.0,Pickup Bak,6.5721,3724.19,200000.0,81.2,1.0576,1250.0,5.0,[6],Ruko Sam Ratulangi Manado
S05_Pekanbaru_2025-12-24,heuristic_kmeans_bfd_gnn,,,9,3,60.9623,30706.95,450000.0,480706.95,1,31.73,76.45,790.13,4.587,0.1014,Pekanbaru,2025-12-24,False,1.0,1.0,1.0,Blind Van,21.3838,10771.09,150000.0,260.28,1.434,830.0,2.0,"[1, 5]",Mall SKA Pekanbaru -> Metropolitan City Pekanbaru
S05_Pekanbaru_2025-12-24,heuristic_kmeans_bfd_gnn,,,9,3,60.9623,30706.95,450000.0,480706.95,1,31.73,76.45,790.13,4.587,0.1014,Pekanbaru,2025-12-24,False,2.0,1.0,2.0,Blind Van,18.6827,9410.56,150000.0,184.89,1.171,830.0,2.0,[2],Ruko Panam Pekanbaru
S05_Pekanbaru_2025-12-24,heuristic_kmeans_bfd_gnn,,,9,3,60.9623,30706.95,450000.0,480706.95,1,31.73,76.45,790.13,4.587,0.1014,Pekanbaru,2025-12-24,False,3.0,1.0,3.0,Blind Van,20.8958,10525.31,150000.0,344.96,1.982,830.0,2.0,"[9, 6, 4, 7, 8, 3]",Ruko Sudirman Awal Bros Pekanbaru -> Ruko Sudirman Pekanbaru -> Ruko Jl. Riau -> Ruko Gobah Pekanbaru -> Ruko Hang Tuah Ujung -> Living World Pekanbaru
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,109.1043,66711.22,1400000.0,1466711.22,1,40.22,77.31,3415.0,23.192056,0.122,Batam,2025-12-18,False,1.0,1.0,1.0,Blind Van,19.0329,9586.97,150000.0,776.3,1.818438,830.0,2.0,"[4, 6, 10]",Ruko Greenland Batam Center -> Batam City Square -> Bayfront Mall Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,109.1043,66711.22,1400000.0,1466711.22,1,40.22,77.31,3415.0,23.192056,0.122,Batam,2025-12-18,False,2.0,1.0,2.0,Blind Van,17.6784,8904.69,150000.0,302.1,1.538118,830.0,2.0,[7],Botania Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,109.1043,66711.22,1400000.0,1466711.22,1,40.22,77.31,3415.0,23.192056,0.122,Batam,2025-12-18,False,3.0,1.0,3.0,Blind Van,12.4889,6290.72,150000.0,297.1,1.63012,830.0,2.0,[8],Panbil Mall Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,109.1043,66711.22,1400000.0,1466711.22,1,40.22,77.31,3415.0,23.192056,0.122,Batam,2025-12-18,False,4.0,2.0,1.0,Pickup Bak,14.8912,8438.37,200000.0,1009.0,4.808186,1250.0,5.0,"[1, 2]",Megamall Batam -> Grand Batam Mall
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,109.1043,66711.22,1400000.0,1466711.22,1,40.22,77.31,3415.0,23.192056,0.122,Batam,2025-12-18,False,5.0,2.0,2.0,Pickup Bak,10.5011,5950.64,200000.0,395.5,4.888896,1250.0,5.0,[3],Ruko Palm Spring Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,109.1043,66711.22,1400000.0,1466711.22,1,40.22,77.31,3415.0,23.192056,0.122,Batam,2025-12-18,False,6.0,2.0,3.0,Pickup Bak,20.4235,11573.29,200000.0,346.1,4.602784,1250.0,5.0,[5],Ruko Tiban Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,109.1043,66711.22,1400000.0,1466711.22,1,40.22,77.31,3415.0,23.192056,0.122,Batam,2025-12-18,False,7.0,3.0,1.0,Engkel,14.0881,15966.54,350000.0,288.9,3.905514,2250.0,9.0,[9],Ruko Nagoya Hill Batam
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,83.2666,44433.36,850000.0,894433.36,1,8.14,81.4,406.0,13.024612,0.1423,Batam,2025-12-24,False,1.0,1.0,1.0,Blind Van,14.5529,7330.33,150000.0,89.0,1.712635,830.0,2.0,"[8, 2]",Megamall Batam -> Ruko Nagoya Hill Batam
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,83.2666,44433.36,850000.0,894433.36,1,8.14,81.4,406.0,13.024612,0.1423,Batam,2025-12-24,False,2.0,1.0,2.0,Blind Van,14.0795,7091.89,150000.0,40.0,1.640963,830.0,2.0,[4],Grand Batam Mall
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,83.2666,44433.36,850000.0,894433.36,1,8.14,81.4,406.0,13.024612,0.1423,Batam,2025-12-24,False,3.0,1.0,3.0,Blind Van,15.0604,7585.97,150000.0,68.0,1.840672,830.0,2.0,"[5, 9]",Ruko Greenland Batam Center -> Panbil Mall Batam
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,83.2666,44433.36,850000.0,894433.36,1,8.14,81.4,406.0,13.024612,0.1423,Batam,2025-12-24,False,4.0,2.0,1.0,Pickup Bak,17.7207,10041.74,200000.0,132.0,4.832422,1250.0,5.0,"[3, 1]",Ruko Palm Spring Batam -> Botania Batam
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,83.2666,44433.36,850000.0,894433.36,1,8.14,81.4,406.0,13.024612,0.1423,Batam,2025-12-24,False,5.0,2.0,2.0,Pickup Bak,21.8531,12383.43,200000.0,77.0,2.99792,1250.0,5.0,"[10, 6, 7]",K Square Mall Batam -> Batam City Square -> Ruko Tiban Batam
