scenario_id,method,status,infeasible_nodes,n_nodes,num_vehicles_used,total_distance_km,total_fuel_cost_rp,total_fixed_cost_rp,total_cost_rp,best_k_clusters,weight_utilisation,volume_utilisation,total_weight_demand,total_volume_demand,runtime_sec,city,date,is_lindo_representative,distance_method,route_index,vehicle_type_l,vehicle_unit_k,vehicle_name,route_distance_km,route_fuel_cost_rp,route_fixed_cost_rp,load_weight_kg,load_volume_cbm,capacity_weight,capacity_volume,route_node_ids,route_names
S04_Manado_2025-12-24,heuristic_kmeans_bfd_gnn,,,8,5,207.8755,109309.01,850000.0,959309.01,1,17.89,64.07,892.55,10.2514,0.4348,Manado,2025-12-24,True,OSRM,4.0,2.0,1.0,Pickup Bak,61.7271,34978.69,200000.0,319.52,4.8475,1250.0,5.0,"[5, 1]",Ruko Bahu Manado -> Tomohon
S04_Manado_2025-12-24,heuristic_kmeans_bfd_gnn,,,8,5,207.8755,109309.01,850000.0,959309.01,1,17.89,64.07,892.55,10.2514,0.4348,Manado,2025-12-24,True,OSRM,5.0,2.0,2.0,Pickup Bak,11.3531,6433.42,200000.0,81.2,1.0576,1250.0,5.0,[6],Ruko Sam Ratulangi Manado
S05_Pekanbaru_2025-12-24,heuristic_kmeans_bfd_gnn,,,9,3,83.1666,41891.32,450000.0,491891.32,1,31.73,76.45,790.13,4.587,0.4436,Pekanbaru,2025-12-24,False,OSRM,1.0,1.0,1.0,Blind Van,29.8289,15024.93,150000.0,260.28,1.434,830.0,2.0,"[1, 5]",Mall SKA Pekanbaru -> Metropolitan City Pekanbaru
S05_Pekanbaru_2025-12-24,heuristic_kmeans_bfd_gnn,,,9,3,83.1666,41891.32,450000.0,491891.32,1,31.73,76.45,790.13,4.587,0.4436,Pekanbaru,2025-12-24,False,OSRM,2.0,1.0,2.0,Blind Van,23.7779,11977.02,150000.0,184.89,1.171,830.0,2.0,[2],Ruko Panam Pekanbaru
S05_Pekanbaru_2025-12-24,heuristic_kmeans_bfd_gnn,,,9,3,83.1666,41891.32,450000.0,491891.32,1,31.73,76.45,790.13,4.587,0.4436,Pekanbaru,2025-12-24,False,OSRM,3.0,1.0,3.0,Blind Van,29.5598,14889.38,150000.0,344.96,1.982,830.0,2.0,"[9, 6, 7, 8, 4, 3]",Ruko Sudirman Awal Bros Pekanbaru -> Ruko Sudirman Pekanbaru -> Ruko Gobah Pekanbaru -> Ruko Hang Tuah Ujung -> Ruko Jl. Riau -> Living World Pekanbaru
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,165.647,101170.42,1400000.0,1501170.42,1,40.22,77.31,3415.0,23.192056,0.4561,Batam,2025-12-18,False,OSRM,1.0,1.0,1.0,Blind Van,29.8789,15050.11,150000.0,776.3,1.818438,830.0,2.0,"[4, 6, 10]",Ruko Greenland Batam Center -> Batam City Square -> Bayfront Mall Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,165.647,101170.42,1400000.0,1501170.42,1,40.22,77.31,3415.0,23.192056,0.4561,Batam,2025-12-18,False,OSRM,2.0,1.0,2.0,Blind Van,24.6083,12395.29,150000.0,302.1,1.538118,830.0,2.0,[7],Botania Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,165.647,101170.42,1400000.0,1501170.42,1,40.22,77.31,3415.0,23.192056,0.4561,Batam,2025-12-18,False,OSRM,3.0,1.0,3.0,Blind Van,17.2587,8693.27,150000.0,297.1,1.63012,830.0,2.0,[8],Panbil Mall Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,165.647,101170.42,1400000.0,1501170.42,1,40.22,77.31,3415.0,23.192056,0.4561,Batam,2025-12-18,False,OSRM,4.0,2.0,1.0,Pickup Bak,22.6597,12840.5,200000.0,1009.0,4.808186,1250.0,5.0,"[1, 2]",Megamall Batam -> Grand Batam Mall
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,165.647,101170.42,1400000.0,1501170.42,1,40.22,77.31,3415.0,23.192056,0.4561,Batam,2025-12-18,False,OSRM,5.0,2.0,2.0,Pickup Bak,17.7833,10077.2,200000.0,395.5,4.888896,1250.0,5.0,[3],Ruko Palm Spring Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,165.647,101170.42,1400000.0,1501170.42,1,40.22,77.31,3415.0,23.192056,0.4561,Batam,2025-12-18,False,OSRM,6.0,2.0,3.0,Pickup Bak,32.5973,18471.8,200000.0,346.1,4.602784,1250.0,5.0,[5],Ruko Tiban Batam
S06_Batam_2025-12-18,heuristic_kmeans_bfd_gnn,,,10,7,165.647,101170.42,1400000.0,1501170.42,1,40.22,77.31,3415.0,23.192056,0.4561,Batam,2025-12-18,False,OSRM,7.0,3.0,1.0,Engkel,20.8608,23642.24,350000.0,288.9,3.905514,2250.0,9.0,[9],Ruko Nagoya Hill Batam
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,128.0175,68518.32,850000.0,918518.32,1,8.14,81.4,406.0,13.024612,0.469,Batam,2025-12-24,False,OSRM,1.0,1.0,1.0,Blind Van,21.5058,10832.55,150000.0,89.0,1.712635,830.0,2.0,"[8, 2]",Megamall Batam -> Ruko Nagoya Hill Batam
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,128.0175,68518.32,850000.0,918518.32,1,8.14,81.4,406.0,13.024612,0.469,Batam,2025-12-24,False,OSRM,2.0,1.0,2.0,Blind Van,22.0147,11088.89,150000.0,40.0,1.640963,830.0,2.0,[4],Grand Batam Mall
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,128.0175,68518.32,850000.0,918518.32,1,8.14,81.4,406.0,13.024612,0.469,Batam,2025-12-24,False,OSRM,3.0,1.0,3.0,Blind Van,20.4048,10277.97,150000.0,68.0,1.840672,830.0,2.0,"[5, 9]",Ruko Greenland Batam Center -> Panbil Mall Batam
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,128.0175,68518.32,850000.0,918518.32,1,8.14,81.4,406.0,13.024612,0.469,Batam,2025-12-24,False,OSRM,4.0,2.0,1.0,Pickup Bak,26.448,14987.2,200000.0,132.0,4.832422,1250.0,5.0,"[3, 1]",Ruko Palm Spring Batam -> Botania Batam
S07_Batam_2025-12-24,heuristic_kmeans_bfd_gnn,,,10,5,128.0175,68518.32,850000.0,918518.32,1,8.14,81.4,406.0,13.024612,0.469,Batam,2025-12-24,False,OSRM,5.0,2.0,2.0,Pickup Bak,37.6442,21331.71,200000.0,77.0,2.99792,1250.0,5.0,"[10, 6, 7]",K Square Mall Batam -> Batam City Square -> Ruko Tiban Batam
