route_id,origin,vehicle_type,num_stops,total_weight_kg,max_weight_kg,total_volume_cbm,max_volume_cbm,weight_utilization_pct,volume_utilization_pct,distance_km,stop_sequence
16,Kiat Ananda Jakarta,CDE,28,379.36,2000,2.88,6.0,18.97,48.0,818.165,9085303906095316 → 3965003908049595 → 9551903906094495 → 3756903912697497 → 8571103917938823 → 2414903912699334 → 6219303904391699 → 9198103904391144 → 1220203917940426 → 9703903917943713 → 4064203912698194 → 8100503911166226 → 1888103917939756 → 6197703900315343 → 8718303903932499 → 1029003909203797 → 6180003912697497 → 7443003903927061 → 6421003900315599 → 8257603903927675 → 3546803917939000 → 3395103904648968 → 8972603912697704 → 8547303905975583 → 9627903917940422 → 7776403907906683-R1 → 7546103912698143 → 8499203917939960
17,Kiat Ananda Jakarta,Tronton,34,6502.78,15000,29.9956,30.0,43.35,99.99,66.062,7830503898907872A → 5992203898890935A → 7830503898907872B → 2124803898909873 → 9654303898910739 → 4603203912699381 → 5992203898890935B → 4525803898910321 → 1812103898909046 → 4224803898893111 → 4518403898892194 → 6396303898892690 → 6618103898893657 → 9850603900631326A → 9850603900631326A-R2 → 2119103900623478B → 9850603900631326B → TR-B404-25-12-18 → 4112903900779945 → 8265603888602738 → 3134903900621067B → TR-B404-25-12-18-R1B → TR-B404-25-12-18-TMP → 8341403900592319A-R1 → 8341403900592319B → TR-B404-25-12-18-R1A → 7103203898893511 → 8827903900529933 → 4493703900504843 → 4240003900530836 → 5800503898894773 → 4873603912698950 → 1892903900777955 → 7789403897473199B
18,Kiat Ananda Jakarta,CDD,3,1725.24,4000,8.43,12.0,43.13,70.25,64.913,8335603917940298 → 8341403900592319A → 9166503917940144
19,Kiat Ananda Jakarta,CDD Long,17,4664.9,6000,17.5623,20.0,77.75,87.81,218.834,2497503898622175 → 5759503897545759 → 8464403902343292 → 1389603898606947 → 6514003902348318 → 1059303912698119 → 2497503898622175-R1 → 3434303912704827 → 1389603898606947-R1 → 6258203900663355 → 2129803917940240 → 6040803895764925 → 4308503918230973 → 7638303899440514 → 3007503912699336 → 6040803895764925-R1 → 6738703917939408
20,Kiat Ananda Jakarta,Tronton,6,8114.0,15000,29.9898,30.0,54.09,99.97,45.639,6104503895327025 → 5450703914745686 → 7365103902247284 → 3913103905937635 → 4740603899231969 → 9505903900711228
21,Kiat Ananda Jakarta,Tronton,10,8147.9,15000,29.9901,30.0,54.32,99.97,45.639,8214903912864872 → 4656603895318278 → 2861603902236876 → 6866503907413014 → 2931003902238025 → 8942803902316138 → 9424903898777509 → 5294703899225918 → 4747703895994997 → 2182603895494739
22,Kiat Ananda Jakarta,CDD,33,1198.98,4000,8.4928,12.0,29.97,70.77,45.401,5448003897043612 → 4670603916657796 → 8841203895327838 → 4656603895318278-R1 → 7128703900505502 → 6297903900492546 → 5083803895318875 → 9588803917954441 → 8811803902226678 → 2302003907303610 → 1866503907303917 → 3839903909468975 → 2170903902238245 → 8092603917017846 → 3501903902238655 → 4866203902227021 → 7343103902227324 → 3656403902374620 → 1299703902227762 → 9527503902359285 → 8851603904337060 → 2621903904338062 → 3380703899232229 → 4605703905831224 → 9424903898777509-R1 → 2058503899226194 → 8822303905831434 → 3265603917954534 → 2001403902431906 → 1037803913949920 → 5220603897008577 → 5461303907655898 → 3156103904063916
23,Kiat Ananda Jakarta,CDD Long,9,3603.15,6000,14.05,20.0,60.05,70.25,345.565,6853403900737732 → 6853403900737732-R1 → 2631603912698846 → 6586003917939706 → 8921703902317899 → 7034703918246046 → 2776803912697506 → 3712903917954484 → 5258703917939634
24,Kiat Ananda Jakarta,Fuso,57,6357.11,8000,23.635,25.0,79.46,94.54,50.399,4967503895136026 → 7748203893388941 → 6632603888601699 → 6857103895553555 → 7748203893388941-R1 → 8469903896695177 → 7757003898339828 → 8469903896695177-R1 → 6941603896715048 → 2875303917940473 → 1158803917954466 → 3355203917940044 → 4523003917940569 → 4053803917940316 → 6773903917939616 → 8704003917939422 → 6665003893905966 → 6162503898684422 → 6922603888601506 → 6665003893905966-R1 → 1093803892031324 → 1552303896734038 → 2049303888602412 → 1552303896734038-R1B → 1552303896734038-R1A → 1093803892031324-R1 → 1502103917940070 → 3096903917940582 → 4961003917940536 → 5938203917940612 → 6238903917939822 → 8001703917954446 → 8653003917940487 → 9001803917939204 → 9311503897424971 → 5897503888602035 → 9311503897424971-R1 → 8066603898698869A → 3072103898700627 → 8066603898698869A-R1 → 8066603898698869B → 2048003917954484 → 5673303917939150 → 5120403917939540 → 3711403917940212 → 7111503917938820 → 6648303917938924 → 9519603917939226 → 7342503900617270 → 3466303897081059 → 6036103911040064 → 6020103900622892 → 2064103912699357 → 3466303897081059-R1 → 5934703900608612 → 3466303897081059-R2 → 3952603917938846
25,Kiat Ananda Jakarta,CDD,13,3416.23,4000,11.7329,12.0,85.41,97.77,360.889,6038203878283073 → 3621303892564961 → 1883403885515458 → 2370903888600398 → 5562303895689133 → 7960903890503747 → 6038203878283073-R1 → 8203878283073-R1 → 2587103917954504 → 4910003895352671 → 1739303888600740 → 4910003895352671-R1 → 0003895352671-R1
26,Kiat Ananda Jakarta,Tronton,8,7170.09,15000,29.999,30.0,47.8,100.0,73.289,2560703905520380 → 8074603905492993 → 6742503900488787 → 4408203895154245 → 4167003905513977 → 8675003897154387 → 9174103897136778-R1 → 4148603897179922
27,Kiat Ananda Jakarta,Tronton,11,7411.7,15000,29.9987,30.0,49.41,100.0,73.289,7704603895331621 → 4408203895154245-R1 → 8201103897523173 → 7074703898702246 → 5978803898600989 → 9174103897136778 → 3141703901386762 → 5977303898902961 → 6970703897075375 → 5863603897161076 → 6970703897075375-R1
28,Kiat Ananda Jakarta,CDE,29,132.33,2000,2.3592,6.0,6.62,39.32,73.289,5198903898725433 → 1342303898858143 → 6956303912698660 → 7704603895331621-R1 → 4455003912698844 → 4408203895154245-R2 → 6742503900488787-R1 → 7067603900491772 → 2397303917940584 → 9666603917954586 → 8201103897523173-R1 → 7733303912698186 → 3987203899376898 → 4936203899377375 → 7074703898702246-R1 → 8201103897523173-R2 → 9889303917940456 → 7845903897581598 → 9213903912697525 → 6883403897630809 → 3141703901386762-R1 → 1142503917940642 → 9997903912699266 → 7144303898794956 → 1224903898929238 → 2704203902122085 → 8664903902148772 → 5863603897161076-R1 → 8176503917938948
29,Kiat Ananda Jakarta,CDD Long,19,3931.75,6000,16.0629,20.0,65.53,80.31,168.684,6903103895659154 → 3504803888280659 → 2232303895664770 → 3637503895857019 → 2790303897527041 → 2904203888434890 → 2232303895664770-R1 → 4232503895652563 → 9203703895864685 → 5841803912699389 → 8597703886339938 → 2696503917954596 → 8663203893805403 → 3768503893771769A → 768503893771769A → 5575803912698538 → 3768503893771769B → 768503893771769B → 8791103917954466
30,Kiat Ananda Jakarta,CDD,21,1870.73,4000,6.8866,12.0,46.77,57.39,65.569,8213103897278955 → 8213103897278955-R1 → 5672603895239342 → 5553903898365018 → 8734503895240720 → 7070003896789537 → 3492603895229953 → 1459203896952370 → 7070003896789537-R1 → 5522003917939726 → 5446903917954463 → 4428403917939076 → 6849103917938834 → 9211903897031265 → 9472103893994522 → 7447303912697847 → 5548403897031573 → 6297503897032106 → 7427303897031862 → 9472103893994522-R1 → 7233503917954408
31,Kiat Ananda Jakarta,CDE,5,1469.66,2000,4.51,6.0,73.48,75.17,866.17,4004603900564852 → 1863703900571454 → 4234403900576800 → 6182103912699403 → 6676403917939334
32,Kiat Ananda Jakarta,CDD,9,2541.06,4000,10.8704,12.0,63.53,90.59,55.315,7076703897311405 → 2587603897161198 → 3294503912697515 → 6573003897170730 → 7498503917939900 → 7154103900428256 → 7802303897246240 → 8060403912697949 → 6372403917939246
33,Kiat Ananda Jakarta,Pickup,2,234.52,1500,1.0413,2.0,15.63,52.07,225.835,6279703893358814 → 7986703888602199
34,Kiat Ananda Jakarta,Tronton,12,7430.74,15000,29.9998,30.0,49.54,100.0,201.574,1977003895201280 → 8569303902057430 → 3818803913037438 → 6501203909049703 → 4104503893764262 → 4503893764262-R1 → 6471903900751366 → 7290503893647582 → 5768203901827980 → 2609003894973133 → 7290503893647582-R1 → 5780903894162088
35,Kiat Ananda Jakarta,CDD,21,1226.56,4000,6.0092,12.0,30.66,50.08,201.574,7471903912698890 → 1977003895201280-R1 → 4588603917940444 → 3866403912698595 → 4041103917938902 → 4104503893764262-R1 → 5277803912697532 → 9941803898955118 → 8591603912699311 → 3956303900911968 → 2784003917939064 → 2628203899009143 → 6643403912698490 → 9257403893660929 → 6608303893648111 → 0503893647582-R1 → 7565603898853145 → 9820703917954436 → 5780903894162088-R1 → 1755503894162985 → 8343803912697756
36,Kiat Ananda Jakarta,CDD,15,2639.16,4000,10.5178,12.0,65.98,87.65,34.166,9161503900699863 → 6055203900695158 → 5772803903007564 → 5098403900772729 → 1553003912699164 → 7572003917938854 → 2741003898860225 → 2325503898949096 → 9536903900700183 → 7189703900686544 → 2584003912698844 → 8208503914330981 → 3190003914417993 → 2741003898860225-R1 → 1379103917940392
37,Kiat Ananda Jakarta,Tronton,11,7413.8,15000,29.9912,30.0,49.43,99.97,70.945,7452003907005678 → 2303895270757-R1 → 7360203897061618 → 9897403900362454 → 1937403897196274 → 5391803909621254 → 1419103907594077 → 6682803896932775 → 3638303893585803 → 2760203902265255 → 8303893585803-R1
38,Kiat Ananda Jakarta,Tronton,15,7309.8,15000,29.9954,30.0,48.73,99.98,70.945,5344803898971611 → 1692303895270757 → 1692303895270757-R1 → 1121503912699268 → 4704003897190777 → 5593703900373292 → 3448603898930226 → 7584303898921133 → 1404203900423906 → 3092603895478510 → 4893203900110874 → 6042103900116478 → 3340603895608259 → 1486303902274866 → 9161903912697921
39,Kiat Ananda Jakarta,CDD,21,778.12,4000,10.1233,12.0,19.45,84.36,70.945,2688703899052998 → 6888703912697730 → 2644903908851228 → 7360203897061618-R1 → 7560203912699138 → 3017803917954588 → 4337303909637834 → 8885903898938485 → 6355203898924148 → 8166003900392667 → 8640603912697694 → 7573803898944777 → 6570003900277914 → 9815103898922591 → 3581703905893152 → 4503103912698465 → 2787503917516228 → 7121903898618181 → 3638303893585803-R1 → 5841603898966177 → 6308703917954592
40,Kiat Ananda Jakarta,CDD,8,1955.17,4000,8.5492,12.0,48.88,71.24,398.512,1546103894321710 → 7885003894337160 → 7839203894327959 → 2849303888602449 → 7885003894337160-R1 → 5003894337160-R1 → 9801203895476268 → 5771003917954462
41,Kiat Ananda Jakarta,CDE,7,688.82,2000,2.34,6.0,34.44,39.0,820.026,8928703900859750 → 4852803906572243 → 1082103906563116 → 3990003912697779 → 5927303917940020 → 5505303912698320 → 2337703917939600
42,Kiat Ananda Jakarta,CDD,12,1635.74,4000,7.56,12.0,40.89,63.0,760.673,7487403892184249 → 8026403904045909 → 5009303895370543 → 6293903914482893 → 4367103893664960 → 3768703892185200 → 5498603902323982 → 6617203912698709 → 2241903917939452 → 5231503901924867 → 1557803912698618 → 8409603917939156
43,Kiat Ananda Jakarta,CDD Long,27,3408.15,6000,18.4078,20.0,56.8,92.04,75.678,2001003902193919 → 4056803895155880 → 4996603902200482 → 5472403888601558 → 5883803912698202 → 2228603888368138 → TR-B412-25-12-08 → 8964203888602338 → TR-B412-25-12-08-TMP → 1199803901931349 → 6249303895393657 → 5471403898651861 → 5535003888602081 → 8306903912699035 → 4934003901931626 → 6810003917954466 → 9257803917940591 → 9220003895175766 → 2027703888602633 → 5996903893698925 → 9870803888602765 → 1323903893942742 → 4311403893700712 → 4388103893942186 → 5397003893943833 → 1790603888602629 → 4835303888602318
44,Kiat Ananda Jakarta,CDD,7,2277.54,4000,9.2467,12.0,56.94,77.06,119.42,5009303900933234 → 4973203900806485 → 1734803900915346 → 1863303900951063 → 1581503912698634 → 5009303900933234-R1 → 9288303917939204
45,Kiat Ananda Jakarta,CDE,16,925.1,2000,5.8331,6.0,46.26,97.22,86.224,6848003894550884 → 3276103896915237 → 6854903896920272 → 2717603888602481 → 9268103896960774 → 2980103895407176 → 4292403912697880 → 6848003894550884-R1 → 9923003917954412 → 7223703895419170A → 3245003884956141 → 3748503888601996 → 3012103902383968 → 8419103912697529 → 7223703895419170B → 5873403917954416
46,Kiat Ananda Jakarta,CDD Long,8,3544.34,6000,12.6784,20.0,59.07,63.39,301.443,9616703894969423 → 9420603895869405 → 6090803888601486 → 9616703894969423-R1 → 6703894969423-R1 → 9420603895869405-R1 → 0603895869405-R1 → 7758703912698282
47,Kiat Ananda Jakarta,CDE,3,675.31,2000,2.46,6.0,33.77,41.0,766.8,7277503900674183 → 5265003912697825 → 6374803917939280
48,Kiat Ananda Jakarta,CDD,22,1641.0,4000,6.1751,12.0,41.02,51.46,182.217,9810303888501922 → 5484703888505119 → 1601603892117901 → 6790603890617238 → 4822903890616649 → 1772003888516509 → 3926403888509613 → 9892503897003252 → 4570003892163371 → 4472203888523933 → 5670703896668298 → 5170403898561452 → 9385103892280607 → 1501603912699403 → 6790603890617238-R1 → 1772003888516509-R1 → 1601603892117901-R1 → 5484703888505119-R1 → 9810303888501922-R1 → 9385103892280607-R1 → 0303888501922-R1 → 5103892280607-R1
49,Kiat Ananda Jakarta,CDE,6,935.42,2000,3.32,6.0,46.77,55.33,902.633,3983003898471567 → 4647903900650162 → 6766603912699062 → 9118003917938888 → 1104303900959184 → 1886403900960539
50,Kiat Ananda Jakarta,Tronton,11,7762.8,15000,29.9922,30.0,51.75,99.97,38.639,7638003893983630 → 9880803895599244 → 4268303893987101 → 9887703896341229 → 8258103894002517 → 2139303893694225 → 1651303893700974 → 3883503895106031 → 9049003902036067 → 6246203900660281 → 7886003900655695
51,Kiat Ananda Jakarta,Tronton,27,6591.71,15000,28.4083,30.0,43.94,94.69,47.466,8746903895649640 → 5091403893625083 → 3089403896148628 → 1044103893688840 → 5486503895006048 → 8626803893695515 → 5054603895086257 → 1879003895079821 → 2689603909136630 → 5495503895117396 → 4096503901939574 → 8190203901985566 → 8254503900863185 → 8685803901985100 → 6996603902148715 → 1160803902356655 → 9643603902137427 → 3938103902132662 → 1026503902142701 → 7508003905428494 → 1715303900876587 → 6356903900856541 → 5264203912699244 → 1715303900876587-R1 → 3794703900857525 → 7825003900857080 → 8179203917938838
52,Kiat Ananda Jakarta,CDD Long,22,4665.17,6000,14.7044,20.0,77.75,73.52,41.424,6994803912698339 → 5075903917938870 → 1543303902385349 → 9531203892780394 → 9736703892769235 → 2767403902365449 → 5378003912699214 → 8241003917940483 → 2818403897163630 → 4098603888602329 → 2818403897163630-R1 → 1777003895542912 → 2588503888602593 → 1777003895542912-R1 → 5724003895060264 → 2569603888602440 → 6369103894849557 → 5724003895060264-R1 → 9606803895463816 → 2539903898275009 → 8298503895721982 → 2539903898275009-R1
53,Kiat Ananda Jakarta,Fuso,7,5105.24,8000,21.36,25.0,63.82,85.44,275.626,6992803901256288A → 7961103902365262B → 6992803901256288A-R1 → 9038503912698671 → 6992803901256288B → 7961103902365262A → 3280903917939050
54,Kiat Ananda Jakarta,Tronton,14,6427.38,15000,26.7939,30.0,42.85,89.31,36.108,8073003900656667 → 7734303898371850 → 6112903902193287 → 7830103898359851B → 5317603912697622 → 6112903902193287-R1 → 7830103898359851B-R1 → 8073003900656667-R1 → 8304903917940314 → 7067203900591525 → 6038703917917397 → 3292503917932841 → 9365003912697517 → 9928603917940454
55,Kiat Ananda Jakarta,CDE,15,1376.84,2000,5.64,6.0,68.84,94.0,905.629,1399703917652275 → 6215403912698525 → 5954503917939092 → 1832703914449901 → 8675903902549289 → 2378003911238617 → 1661403907608480 → 6575003907769198 → 8672703907619882 → 1911603918298258 → 5901203907623355 → 7173603912698143 → 7489903902579845 → 5178703903896093 → 2636103917940520
56,Kiat Ananda Jakarta,Tronton,5,6892.0,15000,30.0,30.0,45.95,100.0,179.905,6707903902047467 → 4905303898911581 → 8791703892229665 → 1034303897165312 → 7137603901920661
57,Kiat Ananda Jakarta,CDD Long,33,2360.96,6000,16.4993,20.0,39.35,82.5,179.905,6911303899034978 → 5025503900827765 → 2014903902048275 → 2370203912697988 → 6911303899034978-R1 → 8620003902049657 → 1498303902048893 → 1997503902049154 → 7511703917938832 → 7373603898866666B → 2660303898915211 → 1695703912282852 → 1009303912698978 → 1819103908118718 → 4905303898911581-R1 → 7373603898866666B-R1 → 5397503898870813 → 7345503898967745 → 7373603898866666A → 4673903917939846 → 9492003914230101 → 6069003904446425 → 2692403912699323 → 9029403914757962 → 1244803917441375 → 8791703892229665-R1 → 9885103906095111 → 7737003906095313 → 8429703906098621 → 2405703917939270 → 3560903912699332 → 7137603901920661-R1 → 6433903917940070
58,Kiat Ananda Jakarta,CDD Long,10,3390.6,6000,15.452,20.0,56.51,77.26,188.852,4861703894047387 → 3434503890334946 → 9159203894041161 → 4861703894047387-R1 → 3434503890334946-R1 → 9895303912698242 → 4503890334946-R1 → 7655803894047900 → 2816303902367386 → 1626103895538168
59,Kiat Ananda Jakarta,CDE,6,1254.51,2000,4.29,6.0,62.73,71.5,606.835,3173003900645330 → 1025403900646828 → 6377203900798548 → 6641603912698270 → 6591903907106883 → 2003603917940568
60,Kiat Ananda Jakarta,CDD Long,13,4078.12,6000,15.5684,20.0,67.97,77.84,36.911,4750203900742276 → 7014003902249340 → 3856203912699049 → 1965203902175296 → 7499303902173501 → 1109403902249741 → 6174303902173098 → 9263603917940524 → 2108503893624525 → 7436303912697507 → 4427503888601958 → 2108503893624525-R1 → 6293603917940540
61,Kiat Ananda Jakarta,Tronton,19,7532.59,15000,27.7259,30.0,50.22,92.42,358.672,3432703895229188 → 4612203894098440A → 612203894098440A → 2220403888601939 → 4612203894098440A-R1 → 203894098440A-R1 → 4612203894098440B → 612203894098440B → 3415403896317558 → 3368803888602575 → 3415403896317558-R1 → 5403896317558-R1 → 4738103917954466 → 3854703888600812 → 5417803894949023 → 7371503888601532 → 3745903894950886 → 5417803894949023-R1 → 7803894949023-R1
62,Kiat Ananda Jakarta,Tronton,7,7837.86,15000,29.9937,30.0,52.25,99.98,54.845,5172303896210729 → 2812903902212615 → 8934903897194192 → 2999003895061834 → 5905903898905413 → 9504603897193783 → 8665403898761113
63,Kiat Ananda Jakarta,Tronton,9,7421.8,15000,29.9991,30.0,49.48,100.0,55.413,9598203914412971 → 2961103900584396 → 1476403900628270 → 3022503900427522 → 8092803900275439 → 2467303902426848 → 7852803901127339 → 9308103897210600 → 5503303893910289
64,Kiat Ananda Jakarta,Tronton,11,8077.52,15000,29.9903,30.0,53.85,99.97,54.677,4620403895456822 → 2262103896755602 → 9825903900664261 → 6659003897430328 → 5584303900501974 → 6793503898836866 → 5590503900632433 → 5274503900398324 → 9009603900596616 → 1045003898943537 → 2419703902751383
65,Kiat Ananda Jakarta,Tronton,16,7087.24,15000,29.9975,30.0,47.25,99.99,54.664,8882803897194515 → 7076203897165077 → 4340003902012939 → 3913703896869122 → 2751103895366583 → 3314903907647121 → 2801503900456728 → 6484403900404996 → 4665003900684704 → 4480603898728983 → 9842103897181332 → 1523203898732255 → 8860803893873225 → 4574603901037576 → 6466303898815234 → 4610403901038597
66,Kiat Ananda Jakarta,CDD,72,1156.26,4000,10.5282,12.0,28.91,87.74,56.127,2187503900944745 → 6775203896213247 → 5172303896210729-R1 → 2679803912698008 → 9486703896213774 → 6345103896214022 → 2812903902212615-R1 → 3305203917940310 → 3012503897019401 → 3732703912698402 → 4102103895516228 → 2291003895620140 → 5784303912699222 → 9509503917939384 → 9865603912699336 → 4262003917939882 → 2327503901858272 → 6241603912699196 → 2572903917939480 → 4801603900616621 → 3118603895349613 → 8954903895348125 → 7749603895362572 → 1538003912704826 → 2274603917942747 → 1377503907688078 → 1695503912698356 → 1968203917940200 → 6913903900634609 → 3209703912699403 → 2518303917938874 → 4447203912697546 → 3022503900427522-R1 → 6043803917939384 → 4804103912708967 → 7709103912698178 → 8071903917939284 → 9808503911780558 → 1803703908039916 → 7583803912698660 → 8001603910964430 → 4241803917940070 → 9374603912697844 → 6314503917940479 → 5066403912699195 → 1273303917939078 → 4488103907596666 → 2417903912698746 → 6268603917939522 → 2473703901129951 → 6318403898731520 → 5696703901128024 → 5340803901130809 → 9465103900284875 → 7237403902246313 → 6463903912698250 → 1769403912698091 → 6669503902171937 → 2014303900281552 → 1749403902510088 → 1636103897202362 → 1106803902509648 → 3154503901897541 → 6120903897207334 → 5924103897201669 → 2014303900281552-R1 → 1348903917940579 → 9451103917940070 → 8860803893873225-R1 → 2278603912698917 → 3549303911187353 → 7915703917939440
67,Kiat Ananda Jakarta,Tronton,12,6006.04,15000,29.9971,30.0,40.04,99.99,80.416,5896903895483095 → 9502603895485303-R1 → 6748703895463196-R1 → 7241803890186881 → 2189903916458710 → 1510003895520815 → 1500703907805069 → 7108903898918988A → 272103895033552A → 7830003900268741B → 9681303898822028 → 7949903893583275
68,Kiat Ananda Jakarta,Tronton,51,5439.02,15000,26.6215,30.0,36.26,88.74,80.416,6748703895463196 → 7468703894069171 → 6328003894120210 → 9648003898865595 → 9502603895485303 → 2195703912697504 → 2845103895483864 → 3883103902112131 → 8271903894071571 → 8446803894070651 → 3668703894124062 → 6325703894071131 → 4332203894131788 → 8430803894123611 → 7468703894069171-R1 → 4511203900885563 → 6194903890183464 → 2138103900888973 → 2149103895450025 → 7905903907654654 → 9970403917795828 → 4928303907655405 → 8001203912698384 → 7233503907655606 → 8955703907922354 → 7272103895033552A → 1661403912698754 → 5375503900119997 → 7108903898918988B → 7830003900268741A → 7272103895033552B → 272103895033552B → 1790703917954426 → 3511603898831605 → 9681303898822028-R1 → 1745303912698895 → 7949903893583275-R1 → 9903893583275-R1 → 5672803905364786 → 2605903905365019 → 7423903895632733 → 5679403897060841 → 3575003895633563 → 3035103897060631 → 1788603895634572 → 4201403895634958 → 4557903895634081 → 9361103897060359 → 7870303897060131 → 9212403897059802 → 6932103917954528
69,Kiat Ananda Jakarta,Tronton,13,7872.1,15000,29.9947,30.0,52.48,99.98,70.642,5730803898909646 → 2831003895596427 → 2972903895317336 → 6685503895312590 → 6308403897051715 → 4003893873099-R1 → 2993303902291496 → 2539103897103048 → 1435103917504544 → 5358503900980690 → 2703895678495-R1 → 2782803897087182 → 3603893477137-R1
70,Kiat Ananda Jakarta,Tronton,20,7368.52,15000,29.9955,30.0,49.12,99.98,70.791,9222403897311078 → 7202203910761178 → 4904003902884712 → 9554403902727151 → 1512603898843326 → 8587503896940686 → 8942003896933652 → 4523503895200309 → 5675503902279559 → 3316903902284100 → 1000703904407161 → 3554003893873099 → 1172403895376923 → 7747003897036066 → 8858203917500271 → 7035203900990222 → 4092703895678495 → 1023903907975741 → 8801203895465935 → 9233603893477137
71,Kiat Ananda Jakarta,CDE,37,361.1,2000,5.5923,6.0,18.06,93.21,70.791,9408503901040823 → 9558303912699321 → 9222403897311078-R1 → 2502003897000995 → 4384503902149491 → 4000603917745098 → 5467603912284858 → 7840703896966058 → 9192203902734308 → 6685503895312590-R1 → 1320103912697577 → 5503895312590-R1 → 1662503910657967 → 8587503896940686-R1 → 5004403912699364 → 3791903896810004 → 1826603907745831 → 6131903909628622 → 3115503916309909 → 1534103912699426 → 5876303896805924 → 6308403897051715-R1 → 4578303912698279 → 3554003893873099-R1 → 6606103917068564 → 9476503917466441 → 1010903912698648 → 7747003897036066-R1 → 6088803902183088 → 6687903897135853 → 4092703895678495-R1 → 7169703912698248 → 7022803899314173 → 8801203895465935-R1 → 4220203912698304 → 9233603893477137-R1 → 9275603900254743
72,Kiat Ananda Jakarta,CDD Long,18,3224.13,6000,12.9565,20.0,53.74,64.78,82.21,9396303902156014 → 8522503914568561 → 4422503900711052 → 6218303902182960 → 9766103902251803 → 9844303904544667 → 2310603914366393 → 7750703912697774 → 9396303902156014-R1 → 2660103902145813 → 9411703904440238 → 3855103917939164 → 6039103895699096 → 6039103895699096-R1 → 6881303912698448 → 5462203895700211 → 7312103895700511 → 9814503917940494
73,Kiat Ananda Jakarta,CDE,5,972.74,2000,2.699,6.0,48.64,44.98,93.823,5441903916401112 → 1076803900519383 → 8030403912697784 → 3167503900733717 → 1048303917939350
74,Kiat Ananda Jakarta,CDE,7,482.25,2000,2.4598,6.0,24.11,41.0,65.836,8767403895653197 → 9969803888602235 → 4712203912697705 → 8767403895653197-R1 → 1826203904165535 → 3994803896568387 → 3812003917938868
75,Kiat Ananda Jakarta,CDE,4,699.92,2000,2.692,6.0,35.0,44.87,227.093,7269303894012884 → 4668003888600377 → 3581203894014165 → 4728103894014377
76,Kiat Ananda Jakarta,CDD,6,3066.08,4000,10.9084,12.0,76.65,90.9,359.269,4341403894302336 → 4993503888601803 → 4341403894302336-R1 → 6576503894287473 → 1403894302336-R1 → 8354603917954526
77,Kiat Ananda Jakarta,CDD Long,17,4990.39,6000,19.3828,20.0,83.17,96.91,112.064,5793003892815391 → 7745003902079880A → 1917403902089573 → 2206503888602719 → 6701403902394956 → 9219803912699458 → 7745003902079880B → 8733703917954407 → 2920803895515945 → 6836703904093774 → 5001003904095478 → 2272903904120456 → 7650103912699329 → 2920803895515945-R1 → 7704203895516513 → 0803895515945-R1 → 7878903917954455
78,Kiat Ananda Jakarta,Fuso,26,5838.35,8000,24.59,25.0,72.98,98.36,50.545,2747103896866296 → 1900403897018077 → 8401203897044820 → 8623503912699136 → 4493703897032924 → 2747103896866296-R1 → 1900403897018077-R1 → 7253603917940390 → 5547503890580790 → 2129503890576166 → 7409303902578529 → 2303603902577049 → 7390903899033555 → 9728903897340845 → 7867503912699132 → 2063203900445479 → 3793403900445684 → 2129503890576166-R1 → 5547503890580790-R1 → 8856003917940412 → 4276303893610658 → 9343603900956320 → 3872303888600565 → 1045203904636219 → 3459403912697882 → 4768403917939800
79,Kiat Ananda Jakarta,CDE,9,1354.39,2000,5.2895,6.0,67.72,88.16,190.311,7087103895401958 → 1393703888601829 → 9288403895449183 → 9841303888602451 → 5157903893822333 → 7052303888602210 → 8824103917954576 → 1883203893704642 → 1356803888600847
80,Kiat Ananda Jakarta,CDD Long,28,3675.01,6000,16.6972,20.0,61.25,83.49,93.194,1307403896850775 → 4436903900980993 → 2402903900935140 → 8599303902439143 → 6026203909636288 → 8274603905927800 → 4417703897118656 → 3713303912698146 → 1307403896850775-R1 → 2869103896847019 → 6187403896847196 → 8205503902429041 → 7403896850775-R1 → 1571303917954420 → 9331903896578898 → 9331903896578898-R1 → 2132403912699170 → 3869903912699380 → 7577303895143864 → 3385603897202495 → 5333703895279472 → 3528403912699206 → 7980503893724289A → 5089503912699240 → 7466503893725362 → 8278203893726001 → 7980503893724289B → 9804503912698195
81,Kiat Ananda Jakarta,CDE,4,1105.02,2000,3.82,6.0,55.25,63.67,784.706,2633803897297493 → 8154003905874057 → 9452803912699432 → 9969103917940499
82,Kiat Ananda Jakarta,Tronton,12,8744.95,15000,29.997,30.0,58.3,99.99,73.953,1083103899004683 → 8757103912698722 → 5795403899561621 → 8820003899443807 → 9192503900785150 → 5356903900329387A → 4965903902145662 → 6387203912699365 → 3324703902146189 → 7450203902315029 → 1637503902325081 → 3590003914429808
83,Kiat Ananda Jakarta,CDD,14,1475.36,4000,7.196,12.0,36.88,59.97,73.953,3310903898997784 → 1083103899004683-R1 → 3756203917939026 → 5356903900329387B → 8853003917940112 → 9251003902311403 → 9179203912697862 → 9250003902315440 → 7450203902315029-R1 → 9231803917940426 → 2831403902186861 → 2852403912699394 → 3590003914429808-R1 → 4418503917939236
84,Kiat Ananda Jakarta,CDE,6,603.14,2000,2.3479,6.0,30.16,39.13,217.05,7675703886544877 → 2798703890014128 → 6816803888602511 → 7123603894359592 → 5790603888602000 → 2674403917954408
85,Kiat Ananda Jakarta,CDD,6,2161.46,4000,7.388,12.0,54.04,61.57,293.632,2818603883952485 → 4410903893426476 → 7520203888601172 → 2818603883952485-R1 → 8603883952485-R1 → 2047903917954526
