route_id,origin,vehicle_type,num_stops,total_weight_kg,max_weight_kg,total_volume_cbm,max_volume_cbm,weight_utilization_pct,volume_utilization_pct,distance_km,stop_sequence
262,Kiat Ananda Jakarta,Tronton,8,8229.98,15000,29.9989,30.0,54.87,100.0,59.797,1368203892031118 → 9447403899258463 → 6043203899204749 → 4368903893536450 → 5041003888602192 → 2461203881643113 → 9297703898728672 → 9297703898728672-R1
263,Kiat Ananda Jakarta,Tronton,9,8292.08,15000,29.9994,30.0,55.28,100.0,62.695,9892303896627303 → 4148203897335612 → 7168803897358999 → 3096603900769161 → 9627203895474032 → 5238503897200651 → 2236703897153659 → 9060003896967141 → 7703896626312-R1
264,Kiat Ananda Jakarta,CDD Long,49,3667.48,6000,14.5803,20.0,61.12,72.9,64.302,2379703896828585 → 3351103901443673 → 4248303896531567-R1 → 2223203904996107 → 2224103904407840 → 4148203897335612-R1 → 7643903912697686 → 3152403897756936 → 7104503897340471 → 3685803904406420 → 7168803897358999-R1 → 4365803917940574 → 1368203892031118-R1 → 4581203912697826 → 3096603900769161-R1 → 8064203917940222 → 4218503888602421 → 9627203895474032-R1 → 8686103912698864 → 5238503897200651-R1 → 8318703917940268 → 9790603907559323 → 6831303912699098 → 7881903917938874 → 8396403917954454 → 4886003912699400 → 8640503917940500 → 5210203900327667 → 8978303893535708-R1 → 9432403912697690 → 5499703888602131 → 6082703895276179-R1 → 7491203895446561 → 7137703898761444 → 3664303912704824 → 7027203898763927 → 8852403898764193 → 2596603917942747 → 2461203881643113-R1 → 7948303912698950 → 9060003896967141-R1 → 4816303917938914 → 3547703912699303 → 6767703896626312 → 5444603898903806 → 6767703896626312-R1 → 2343303912697817 → 2538803900235811 → 3139203898910253
265,Kiat Ananda Jakarta,Pickup,4,425.11,1500,1.2519,2.0,28.34,62.6,221.755,3085803891498192 → 8770003895071149 → 9148703888602377 → 7016303888602395
266,Kiat Ananda Jakarta,Tronton,8,8434.2,15000,29.9827,30.0,56.23,99.94,34.427,4366503901132001 → 9681703901584806 → 8677303902560271 → 4197503896745268 → 6145903902525647 → 6933903902068398 → 8709203914254381 → 6194503904457017A
267,Kiat Ananda Jakarta,CDD Long,22,2682.65,6000,14.152,20.0,44.71,70.76,51.038,6952703901136330 → 5088903912699431 → 6006403917940064 → 8556303902076653 → 4197503896745268-R1 → 1488603897167119 → 2579403912698561 → 3995303896734815 → 4886203896735041 → 8556303902076653-R1 → 8219303917939584 → 1501203897278095A → 3705603912697711 → 1501203897278095A-R1 → 6194503904457017A-R1 → 6194503904457017B → 1501203897278095B → 1790003917940421 → 5092003897033358 → 6998003899134582 → 4514703899128607 → 5305203900883295
268,Kiat Ananda Jakarta,Tronton,21,7468.32,15000,29.9816,30.0,49.79,99.94,56.886,4958003892369810 → 1903803881637679 → 8553203888600512 → 4958003892369810-R1 → 1903803881637679-R1 → 5214603888602775 → 5350203902403155 → 3811603902516466 → 8742903888602189 → 9002803897268860 → 3091603896927931-R1 → 6896603897273181 → 1177803893736475 → 5012403893724770 → 1004803893757750 → 5012403893724770-R1 → 3895003893742622 → 8647703900244032 → 6337103900229237 → 9226103919624374 → 1621503902347410
269,Kiat Ananda Jakarta,CDE,2,717.5,2000,2.7378,6.0,35.88,45.63,42.95,2959903900756339 → 3091603896927931
270,Kiat Ananda Makassar,CDD,2,2621.8,4000,8.846,12.0,65.55,73.72,43.706,4158503902904819 → 9080503921399071
271,Kiat Ananda Makassar,Fuso,20,7719.22,8000,23.906,25.0,96.49,95.62,725.448,1714003900474652 → 5079103888602569 → 1512803911063553 → 9265503902256025 → 2845503902512894 → 3232203888602595 → 2322103907461652 → 4867503888601130 → 7850603907461648 → 1433703904342173 → 9040603904353298 → 2495903888602793 → 6890903907461652 → 5358603903897145 → 9298803903910644 → 5396603888602203 → 4701603907461652 → 1202403904332340 → 3461603888602398 → 9059803907461639
272,Kiat Ananda Makassar,CDE,6,1384.24,2000,4.058,6.0,69.21,67.63,245.504,8645203900850179 → 4542503912283115 → 4238403904503671 → 5101003902955909 → 9881703902962773 → 7575203912575154
273,Kiat Ananda Makassar,Tronton,19,9040.56,15000,30.0,30.0,60.27,100.0,37.385,3117903921398977 → 9233103902989718 → 7468803902995463 → 1366203902991586 → 6555203902994146 → 5424003921397254 → 4471303902912336 → 4392803904179247 → 9729303921399532 → 9929203902966898 → 7172003921399346 → 8201403902985184 → 8186603921399357 → 6760903902915183 → 4247303909337173 → 5364103906211620 → 2914603921399220 → 2487903902952508 → 9714603921399604
274,Kiat Ananda Makassar,CDD,14,2829.88,4000,7.99,12.0,70.75,66.58,31.284,5106503902970143 → 9986703908997125 → 4475503902970240 → 7641803921398819 → 5776803902992848 → 6292303902993213 → 7245703902992112 → 9452103902993452 → 8720203902964525 → 8665603921397644 → 4940103909119007 → 6462903906817813 → 7611003921397950 → 5138703902975343
275,Kiat Ananda Makassar,CDE,2,1710.36,2000,5.616,6.0,85.52,93.6,42.239,4601703902978157 → 3928103921399275
276,Kiat Ananda Makassar,CDD,4,3933.64,4000,11.406,12.0,98.34,95.05,22.988,2645203902933511 → 4804103921397360 → 1422903902954082 → 3966303921399699
277,Kiat Ananda Makassar,Tronton,19,9528.06,15000,29.884,30.0,63.52,99.61,26.661,7795403902969977 → 4315903907461644 → 1114703921399609 → 4498503921399411 → 7293203903422417 → 3836103921398739 → 1620103902972984 → 2740203921398536 → 5851703902898115 → 1511403921398987 → 2640303903153799 → 2909703903156675 → 8270403921398949 → 1036503907461654 → 2869403903157240 → 3243103902941691 → 6385303921398972 → 7735003902991189 → 5144203921399158
278,Kiat Ananda Makassar,CDD,3,2729.28,4000,9.802,12.0,68.23,81.68,19.855,1985903903007681 → 4971603919862902 → 8268503902967701
279,Kiat Ananda Medan,CDE,3,417.56,2000,5.9823,6.0,20.88,99.7,239.87,2696303902140687 → 3951403921398532 → 8879503888602760
280,Kiat Ananda Medan,Tronton,9,2490.74,15000,29.9812,30.0,16.6,99.94,32.218,5291803900729899 → 2.6592E+15 → 3953403900639516 → 9025703898534490 → 5820603902240876 → 4619003900565895 → 8198603900946731 → 5548003900956294 → 1353503902370098
281,Kiat Ananda Medan,Tronton,22,1900.83,15000,29.912,30.0,12.67,99.71,37.81,6917903901526417 → 8255703910935190 → 5.5125E+15 → 5512503921399070 → 7826203923772691 → 1.0263E+15 → 2659203902148260 → 5337803920985204 → 2160403902202552 → 3480803921397188 → 5594703923336385 → 8780103919687542 → 9695303924539231 → 9097803924537477 → 4436403921399675 → 8313303902311105 → 4610203897085205 → 1252503920956881 → 1322103921398952 → 7308003902240072 → 6297703901190178 → 6021203901184298
282,Kiat Ananda Medan,CDD,29,87.3,4000,6.3453,12.0,2.18,52.88,63.943,1026303910933310 → 8603203919687437 → 6805603923776080 → 4302103921006495 → 6944803921399547 → 3931803919687456 → 6425203921400721 → 3872503923503708 → 2798803921399079 → 4383403921398688 → 2158903920034664 → 1246203900658263 → 9687403920060524 → 4622703921398718 → 3622603902168518 → 4004503921397422 → 9658903921398970 → 9533903921399289 → 9279803919687566 → 7517903921397166 → 4505403919687544 → 8352203902450950 → 8.3522E+15 → 8909203921399138 → 2734503921398494 → 4482603923052248 → 7365503921399505 → 2828203919687548 → 3340403921399587
283,Kiat Ananda Medan,CDD Long,17,1228.34,6000,19.4533,20.0,20.47,97.27,857.422,1554703898707482 → 8073203888602120 → 8.0732E+15 → 3029303921397054 → 3493803902201794 → 8109603916036664 → 6166703906167327 → 1885303921399398 → 3196503907236602 → 6221103888602400 → 6.2211E+15 → 8166603909535304 → 4421303902367040 → 4.4213E+15 → 5979403921399378 → 3206803888602725 → 6880403902367721
284,Kiat Ananda Medan,CDD Long,10,830.66,6000,15.2327,20.0,13.84,76.16,479.59,4888203902345721 → 9018503921809091 → 1881003908071333 → 5204303922183288 → 7096303921398838 → 8804203903954888 → 9637803888600744 → 4071503902703457 → 3.6267E+15 → 3626703903956360
285,Kiat Ananda Medan,CDD Long,10,1172.08,6000,13.6524,20.0,19.53,68.26,44.399,9797603900696007 → 3738603900585542B → 9022703919687437 → 2242303920215823 → 8993903921398776 → 9911103901972092 → 6892903923464736 → 5696303921399323 → 9629703924848981 → 4518803921397832
286,Kiat Ananda Medan,CDE,3,365.64,2000,3.6124,6.0,18.28,60.21,41.363,7496803902547678 → 6451003919687508 → 8720103921397828
287,Kiat Ananda Medan,Pickup,1,0.08,1500,0.099,2.0,0.01,4.95,28.691,4001103921398910
288,Ruko Sudirman Awal Bros Pekanbaru,Fuso,87,2368.62,8000,20.138,25.0,29.61,80.55,33.323,6746403902369434A → 6746403902369434C → 6364503902588183 → 6746403902369434B → 9988403906283648 → 3235103910703834 → 6250403910704402 → 2582603921397316 → 2630003902296336B → 2630003902296336A → 7641203921682410B → 2630003902296336C → 2280803902305614 → 5737203902344125 → 7641203921682410A → 3180703921399394 → 2173603902390674A → 8119503902395353A → 8119503902395353C → 2173603902390674C → 3776203902386891A → 2173603902390674B → 8119503902395353B → 3776203902386891B → 3776203902386891C → 9307603921398298 → 9071703902259009A → 9071703902259009C → 7862603902384799 → 9071703902259009B → 6455303921399155 → 9335303902417984C → 9335303902417984B → 3570503915922385B → 9292203902423920A → 9292203902423920C → 9335303902417984A → 9292203902423920B → 3570503915922385A → 7350003921399642 → 6120903902394604A → 4577203902380902A → 6120903902394604C → 2700603902369276C → 1709803924810636 → 4577203902380902B → 9906203916306672C → 9906203916306672A → 4577203902380902C → 5247003902402669 → 2700603902369276A → 2700603902369276B → 6120903902394604B → 9906203916306672B → 7104703921398530 → 7598203902394675A → 8420203902380796B → 7598203902394675C → 8420203902380796A → 1275203902252861A → 7598203902394675B → 1275203902252861B → 1275203902252861C → 8838903902395368 → 8420203902380796C → 9465603921399190 → 7006203902426859A → 3864703902399201A → 7006203902426859C → 3864703902399201C → 4548903916523495 → 7084503902378851B → 7006203902426859B → 3864703902399201B → 9881303924818674 → 7084503902378851C → 7084503902378851A → 8987103904051522 → 7136603916523797 → 6854603904101792 → 7217903921398858 → 9857403921618541A → 5610903898957529A → 9857403921618541B → 5610903898957529C → 5610903898957529B → 5695803921398948
289,Ruko Sudirman Awal Bros Pekanbaru,CDD,22,2326.99,4000,8.8813,12.0,58.17,74.01,1905.848,3377703893441059 → 2187703888602369 → 6751703893787469 → 8615703888601253 → 4354103894451176 → 8481703893380714 → 3703803888600949 → 7317803895247174 → 7943903888600412 → 7256703893723854 → 2950803888601762 → 1318703893861208 → 5558603888602782 → 5852803895211943 → 7007003893497479 → 2017203893255671 → 4506603893257051 → 4836103888814404 → 9162803890595847 → 8738303888862757 → 9236303888602433 → 4474803883105066
290,Ruko Sudirman Awal Bros Pekanbaru,CDD,33,728.47,4000,10.0027,12.0,18.21,83.36,266.372,8463303902579522C → 5276703923218373B → 8830903902448784C → 8830903902448784B → 3429803924597499B → 8463303902579522A → 9024403924628546A → 5276703923218373A → 9024403924628546B → 3429803924597499A → 8316603905595983 → 8830903902448784A → 7870703905780047 → 8431103904119957 → 6800003924674066 → 8463303902579522B → 3429803924597499C → 2085003921399136 → 7876303924632033A → 7582803902579328A → 7417303902448965A → 7876303924632033C → 7876303924632033B → 7417303902448965B → 8273503905586367 → 7582803902579328B → 1218103921398573 → 4532803923415090B → 1514503902464618B → 4532803923415090A → 5081403910658875 → 1514503902464618A → 8255303921399683
291,Ruko Sudirman Manado,CDD,7,220.6,4000,6.98,12.0,5.51,58.17,450.638,DO-1688903900770336 → DO-3136503909548768 → DO-8780503888602573 → DO-6900803883340415 → DO-8934403902622667 → DO-5794603883369715 → DO-8950303918080428
292,Ruko Sudirman Manado,CDD Long,42,1745.63,6000,17.7411,20.0,29.09,88.71,92.917,DO-2879303905596813 → DO-6863803905599972 → DO-7983703905607181 → DO-9851603888602055 → DO-3112903905597880 → DO-9210403901949727 → DO-8149003900705926 → DO-8468503924491968 → DO-1710003905571527A → DO-1710003905571527B → DO-7409703924793412A → DO-7409703924793412B → DO-4638703901075532 → DO-8921003901079141 → DO-3802203888601524 → DO-2753503905517689B → DO-2753503905517689A → DO-2753503905517689C → DO-7324403888602562 → DO-8975803905521207 → DO-9966503901027659C → DO-4547003901078372B → DO-2792703916265827 → DO-4547003901078372C → DO-6642903912396846 → DO-9080603901088583 → DO-9966503901027659A → DO-8345903914333068 → DO-9415503888602750 → DO-7306203912396099 → DO-4547003901078372A → DO-9966503901027659B → DO-2224003900808515A → DO-7146003900799300A → DO-2224003900808515B → DO-7146003900799300B → DO-4845303888602439 → DO-7146003900799300C → DO-9925703900720320 → DO-8648003900709689 → DO-7306303888601466 → DO-8910603924663962
